英単語,日本語意味
passion,情熱
past,過去
patch,パッチ
path,道
patient,患者
pattern,パターン
pause,休止
pay,支払う
payment,支払い
PC,パーソナルコンピュータ
peace,平和
peak,ピーク
peer,仲間
penalty,ペナルティ
people,人
pepper,コショウ
per,あたり
perceive,気付きます
percentage,パーセンテージ
perception,知覚
perfect,パーフェクト
perfectly,完全に
perform,行います
performance,演奏
perhaps,多分
period,限目
permanent,恒久
permission,許可
permit,許可
person,人
personal,個人的な
personality,人
personally,自ら
personnel,人員
perspective,展望
persuade,言い聞かせる
pet,ペット
phase,段階
phenomenon,現象
philosophy,哲学
phone,電話
photo,写真
photograph,写真
photographer,写真家
phrase,句
physical,物理的
physically,物理的に
physician,医師
piano,ピアノ
pick,ピック
picture,画像
pie,パイ
piece,ピース
pile,パイル
pilot,パイロット
pine,パイン
pink,ピンク
pipe,パイプ
pitch,ピッチ
place,場所
plan,予定
plane,飛行機
planet,惑星
planning,プランニング
plant,工場
plastic,プラスチック
plate,プレート
platform,プラットホーム
play,演奏する
player,プレーヤー
please,お願いします
pleasure,喜び
plenty,豊富
plot,プロット
plus,プラス
PM,PM
pocket,ポケット
poem,詩
poet,詩人
poetry,詩
point,ポイント
pole,ポール
police,警察
policy,ポリシー
political,政治的
politically,政治的に
politician,政治家
politics,政治
poll,投票
pollution,汚染
pool,プール
poor,貧しいです
pop,ポップ
popular,人気のあります
population,人口
porch,ポーチ
port,港
portion,部分
portrait,肖像画
portray,描写
pose,ポーズ
position,ポジション
positive,ポジティブ
possess,所有します
possibility,可能性
possible,可能
possibly,おそらく
post,役職
pot,ポット
potato,じゃがいも
potential,潜在的な
potentially,潜在的に
pound,ポンド
pour,注ぐ
poverty,貧困
powder,パウダー
power,パワー
powerful,強いです
practical,実用的
practice,練習
pray,祈る
prayer,祈り
precisely,ちょうど
predict,予測します
prefer,好む
preference,優先
pregnancy,妊娠
pregnant,妊娠しています
preparation,準備
prepare,作ります
prescription,処方
presence,プレゼンス
present,現在
presentation,プレゼンテーション
preserve,保存します
president,大統領
presidential,大統領の
press,押す
pressure,圧力
pretend,偽ります
pretty,可愛い
prevent,防ぐ
previous,前
previously,以前に
price,価格
pride,誇り
priest,祭司
primarily,主に
primary,主要
prime,プライム
principal,主要な
principle,原理
print,プリント
prior,事前
priority,優先
prison,刑務所
prisoner,囚人
privacy,プライバシー
private,民間
probably,多分
problem,問題
procedure,手順
proceed,進みます
process,処理する
produce,作物
producer,プロデューサー
product,製品
production,製造
profession,職業
professional,プロフェッショナル
professor,教授
profile,プロフィール
profit,利益
program,プログラム
progress,進捗
project,事業
prominent,主要
promise,約束する
promote,プロモート
prompt,促す
proof,証明
proper,適切な
properly,正しく
property,プロパティ
proportion,割合
proposal,提案
propose,提案します
proposed,提案
prosecutor,検察
prospect,見込み
protect,守ります
protection,保護
protein,タンパク質
protest,抗議
proud,誇りに思う
prove,証明します
provide,供給する
provider,プロバイダ
province,州
provision,規定
psychological,心理学的
psychologist,心理学者
psychology,心理学
public,公衆
publication,出版
publicly,公に
publish,出版します
publisher,出版社
pull,引く
punishment,罰
purchase,購入
pure,ピュア
purpose,目的
pursue,求めます
push,押す
put,置きます
qualify,資格
quality,品質
quarter,四半期
quarterback,クォーターバック
question,質問
quick,速いです
quickly,早く
quiet,静か
quietly,静かに
quit,終了する
quite,かなり
quote,見積もり
race,人種
racial,人種的
radical,ラジカル
radio,無線
rail,レール
rain,雨
raise,レイズ
range,範囲
rank,順位
rapid,急速
rapidly,すばやく
rare,レア
rarely,めったにありません
rate,割合
rather,かなり
rating,格付け
ratio,比
raw,生
reach,リーチ
react,反応します
reaction,反応
read,読んだ
reader,読者
reading,読書
ready,準備ができて
real,リアル
reality,現実
realize,気付く
really,本当に
reason,理由
reasonable,合理的
recall,想起
receive,受け取ります
recent,最近
recently,最近
recipe,レシピ
recognition,認識
recognize,認めます
recommend,推薦します
recommendation,勧告
record,記録
recording,録音
recover,回復します
recovery,回復
recruit,リクルート
red,赤
reduce,減らします
reduction,削減
refer,参照します
reference,参照
reflect,反射する
reflection,反射
reform,改革
refugee,難民
refuse,ごみ
regard,について
regarding,に対する
regardless,かかわらず、
regime,領域
region,領域
regional,地域の
register,登録
regular,定期的な
regularly,定期的に
regulate,規制します
regulation,規制
reinforce,強化する
reject,拒絶します
relate,関連
relation,関係
relationship,関係
relative,相対的
relatively,比較的に
relax,リラックス
release,解除
relevant,関連しました
relief,救済
religion,宗教
religious,宗教的な
rely,頼ります
remain,残ります
remaining,残り
remarkable,顕著
remember,思い出します
remind,思い出させます
remote,遠隔
remove,削除する
repeat,繰り返す
repeatedly,繰り返し
replace,置き換えます
reply,応答
report,報告する
reporter,レポーター
represent,代表します
representation,表現
representative,代表
Republican,共和党
reputation,評判
request,リクエスト
require,必要とする
requirement,要件
research,研究
researcher,研究者
resemble,似ています
reservation,予約
resident,居住者
resist,抵抗します
resistance,抵抗
resolution,解決
resolve,決意
resort,リゾート
resource,資源
respect,尊敬
respond,応答
respondent,被告
response,応答
responsibility,責任
responsible,責任者
rest,残り
restaurant,レストラン
restore,戻す
restriction,制限
result,結果
retain,保ちます
retire,引退します
retirement,退職
return,リターン
reveal,明らかにする
revenue,収益
review,レビュー
revolution,革命
rhythm,リズム
rice,ご飯
rich,リッチ
rid,取り除きます
ride,ライド
rifle,ライフル
right,正しい
ring,リング
rise,上がり
risk,危険
river,川
road,道路
rock,岩
role,役割
roll,ロール
romantic,ロマンチック
roof,ルーフ
room,ルーム
root,ルート
rope,ロープ
rose,ローズ
rough,粗い
roughly,おおよそ
round,円形
route,ルート
routine,ルーチン
row,行
rub,こする
rule,ルール
run,ラン
running,ランニング
rural,農村
rush,ラッシュ
Russian,ロシア
sacred,神聖
sad,悲しい
safe,安全
safety,安全性
sake,酒
salad,サラダ
salary,給料
sale,セール
sales,セールス
salt,塩
same,同じ
sample,サンプル
sanction,制裁
sand,砂
satellite,衛星
satisfaction,満足
satisfy,満足させる
sauce,ソース
save,保存する
saving,節約
say,いう
scale,規模
scandal,スキャンダル
scared,おびえました
scenario,シナリオ
scene,シーン
schedule,スケジュール
scheme,スキーム
scholar,学者
scholarship,奨学金
school,学校
science,理科
scientific,科学的
scientist,科学者
scope,範囲
score,スコア
scream,悲鳴
screen,画面
script,脚本
sea,海
search,探す
season,シーズン
seat,シート
second,第2
secret,秘密
secretary,秘書
section,セクション
sector,セクタ
secure,確保します
security,セキュリティ
see,見る
seed,シード
seek,求める
seem,思われる
segment,セグメント
seize,握ります
select,選択する
selection,選択
self,自己
sell,売る
Senate,上院
senator,上院議員
send,送信
senior,上級
sense,感覚
sensitive,敏感
sentence,文
separate,分ける
sequence,シーケンス
series,シリーズ
serious,深刻
seriously,ひどく
serve,サーブ
service,サービス
session,セッション
set,セットする
setting,セッティング
settle,解決する
settlement,決済
seven,セブン
several,いくつかの
severe,重度
sex,性別
sexual,性的
shade,シェード
shadow,影
shake,シェイク
shall,条
shape,形状
share,シェア
sharp,シャープ
she,彼女
sheet,シート
shelf,棚
shell,シェル
shelter,シェルター
shift,シフト
shine,輝く
ship,輸送する
shirt,シャツ
shit,うんこ
shock,ショック
shoe,靴
shoot,シュート
shooting,撮影
shop,ショップ
shopping,ショッピング
shore,岸
short,ショート
shortly,まもなく
shot,ショット
should,SHOULD
shoulder,ショルダー
shout,叫び
show,公演
shower,シャワー
shrug,竦めます
shut,シャット
sick,病気
side,側
sigh,はぁ
sight,視力
sign,符号
signal,信号
significance,意義
significant,重要
significantly,大幅に
silence,沈黙
silent,サイレント
silver,銀
similar,同様の
similarly,同様に
simple,シンプル
simply,単に
sin,罪
since,から
sing,歌う
singer,歌手
single,シングル
sink,シンク
sir,お客様
sister,シスター
sit,SIT
site,地点
situation,状況
six,六
size,サイズ
ski,スキー
skill,スキル
skin,肌
sky,空
slave,奴隷
sleep,睡眠
slice,スライス
slide,滑り台
slight,わずかな
slightly,わずかに
slip,スリップ
slow,スロー
slowly,ゆっくり
small,小さい
smart,スマート
smell,香り
smile,スマイル
smoke,煙
smooth,滑らか
snap,スナップ
snow,雪
so,そう
so-called,所謂
soccer,サッカー
social,ソーシャル
society,社会
soft,柔らかい
software,ソフトウェア
soil,土
solar,太陽
soldier,兵士
solid,固体
solution,解決
solve,解決する
some,いくつか
somebody,誰か
somehow,何とかして
someone,誰か
something,何か
sometimes,時々
somewhat,幾分
somewhere,何処か
son,息子
song,歌
soon,やがて
sophisticated,洗練されました
sorry,ごめんなさい
sort,ソート
soul,魂
sound,音
soup,スープ
source,ソース
south,南
southern,南方の
Soviet,ソ連
space,スペース
Spanish,スペイン語
speak,話す
speaker,スピーカー
special,特殊
specialist,スペシャリスト
species,種
specific,明確な
specifically,特に
speech,スピーチ
speed,速度
spend,費やす
spending,支出
spin,スピン
spirit,精神
spiritual,スピリチュアル
split,スプリット
spokesman,スポークスマン
sport,スポーツ
spot,スポット
spread,拡大
spring,春
square,平方
squeeze,絞ります
stability,安定
stable,安定しました
staff,スタッフ
stage,ステージ
stair,階段
stake,杭
stand,スタンド
standard,標準
standing,常任
star,星
stare,見詰める
start,開始
state,状態
statement,ステートメント
station,駅
statistics,統計
status,状態
stay,滞在
steady,安定しました
steal,スチール
steel,鋼
step,ステップ
stick,スティック
still,やはり
stir,攪拌
stock,株式
stomach,胃
stone,結石
stop,やめる
storage,ストレージ
store,お店
storm,嵐
story,物語
straight,まっすぐ
strange,奇妙
stranger,ストレンジャー
strategic,戦略的
strategy,戦略
stream,ストリーム
street,通り
strength,力
strengthen,強化する
stress,ストレス
stretch,ストレッチ
strike,攻撃
string,ストリング
strip,ストリップ
stroke,脳卒中
strong,強い
strongly,強く
structure,構造
struggle,闘い
student,学生
studio,スタジオ
study,調査
stuff,スタッフ
stupid,愚か
style,スタイル
subject,主題
submit,参加する
subsequent,後の
substance,物質
substantial,実質的
succeed,成功します
success,成功
successful,成功しました
successfully,うまく
such,そのような
sudden,突然
suddenly,突然
sue,訴える
suffer,苦しみます
sufficient,十分
sugar,シュガー
suggest,提案します
suggestion,提案
suicide,自殺
suit,スーツ
summer,夏
summit,サミット
sun,太陽
super,素晴らしい
supply,サプライ
support,サポート
supporter,支援者
suppose,思います
supposed,なっ
Supreme,最高
sure,承知しました
surely,確かに
surface,表面
surgery,手術
surprise,驚き
surprised,驚きました
surprising,驚くべき
surprisingly,意外と
surround,囲む
survey,調査
survival,生存
survive,生き残ります
survivor,生存者
suspect,容疑者
sustain,サスティーン
swear,誓う
sweep,掃く
sweet,甘い
swim,泳ぐ
swing,スイング
switch,スイッチ
symbol,シンボル
symptom,症状
system,システム
table,テーブル
tablespoon,テーブルスプーン
tactic,タクティック
tail,尾
take,取る
tale,物語
talent,才能
talk,トーク
tall,背が高いです
tank,タンク
tap,タップ
tape,テープ
target,目標
task,仕事
taste,味
tax,税金
taxpayer,納税者
tea,お茶
teach,教える
teacher,先生
teaching,教育
team,チーム
tear,涙
teaspoon,ティースプーン
technical,テクニカル
technique,技術
technology,技術
teen,ティーン
teenager,ティーンエイジャー
telephone,電話
telescope,望遠鏡
television,テレビ
tell,伝えます
temperature,温度
temporary,一時的
ten,十
tend,傾向があります
tendency,傾向
tennis,テニス
tension,テンション
tent,テント
term,期間
terms,条項
terrible,ひどいです
territory,地域
terror,テロ
terrorism,テロ
terrorist,テロリスト
test,テスト
testify,証言します
testimony,証言
testing,テスティング
text,テキスト
than,より
thank,感謝
thanks,感謝
that,それ
the,インクルード
theater,劇場
their,彼らの
them,それら
theme,テーマ
themselves,自分自身
then,それから
theory,理論
therapy,治療
there,そこ
therefore,故に
these,これら
they,彼ら
thick,厚い
thin,薄い
thing,事
think,考えます
thinking,考え
third,三番
thirty,30
this,この
those,それら
though,にもかかわらず
thought,思想
thousand,千
threat,脅威
threaten,脅かす
three,三
throat,喉
through,使って
throughout,ずっと
throw,スロー
thus,こうして
ticket,チケット
tie,ネクタイ
tight,タイト
time,時間
tiny,小さな
tip,ヒント
tire,タイヤ
tired,疲れました
tissue,組織
title,題名
to,に
tobacco,タバコ
today,今日
toe,足の指
together,一緒
tomato,トマト
tomorrow,明日
tone,トーン
tongue,舌
tonight,今晩
too,余りに
tool,ツール
tooth,歯
top,上
topic,トピック
toss,投げ捨てる
total,トータル
totally,全く
touch,接する
tough,タフ
tour,旅行
tourist,ツーリスト
tournament,トーナメント
toward,方へ
towards,向かって
tower,タワー
town,町
toy,おもちゃ
trace,痕跡
track,追跡
trade,トレード
tradition,伝統
traditional,伝統的な
traffic,トラフィック
tragedy,悲劇
trail,トレイル
train,列車
training,トレーニング
transfer,転送
transform,変換
transformation,変換
transition,遷移
translate,訳します
transportation,交通
travel,トラベル
treat,御馳走
treatment,処理
treaty,条約
tree,木
tremendous,凄まじいです
trend,傾向
trial,トライアル
tribe,部族
trick,騙す
trip,旅行
troop,部隊
trouble,トラブル
truck,トラック
TRUE,TRUE
truly,真に
trust,信頼
truth,真実
try,試します
tube,チューブ
tunnel,トンネル
turn,順番
TV,テレビ
twelve,12
twenty,二十
twice,二回
twin,ツイン
two,二
type,タイプ
typical,典型的な
typically,一般的に
ugly,醜い
ultimate,究極
ultimately,最終的には
unable,できません
uncle,おじさん
under,下
undergo,経験します
understand,理解する
understanding,理解
unfortunately,不運にも
uniform,ユニフォーム
union,連合
unique,ユニーク
unit,単位
United,ユナイテッド
universal,ユニバーサル
universe,宇宙
university,大学
unknown,わからない
unless,ない限り、
unlike,異なり、
unlikely,そう
until,まで
unusual,珍しいです
up,アップ
upon,に
upper,アッパー
urban,都市
urge,衝動
us,我ら
use,使用する
used,中古
useful,有用
user,ユーザー
usual,一般
usually,通常
utility,ユーティリティ
vacation,休暇
valley,谷
valuable,貴重
value,値
variable,変数
variation,変化
variety,多様
various,諸
vary,変わります
vast,莫大
vegetable,野菜
vehicle,車両
venture,ベンチャー
version,バージョン
versus,対
very,非常に
vessel,容器
veteran,ベテラン
via,経由
victim,犠牲者
victory,勝利
video,ビデオ
view,見る
viewer,ビューア
village,村
violate,犯します
violation,違反
violence,暴力
violent,激しいです
virtually,実際に
virtue,美徳
virus,ウイルス
visible,目に見えます
vision,ビジョン
visit,訪問
visitor,ビジター
visual,ビジュアル
vital,肝要
voice,ボイス
volume,ボリューム
volunteer,ボランティア
vote,投票
voter,有権者
vs,対
vulnerable,脆弱
wage,工賃
wait,待つ
wake,ウェイク
walk,歩く
wall,壁
wander,ワンダ
want,欲しいです
war,戦争
warm,暖かいです
warn,警告します
warning,警告
wash,ウォッシュ
waste,無駄
watch,見る
water,水
wave,波
way,仕方
we,私達
weak,弱い
wealth,富
wealthy,豊か
weapon,武器
wear,着る
weather,天気
wedding,結婚式
week,週間
weekend,週末
weekly,ウィークリー
weigh,量ります
weight,重量
welcome,ようこそ
welfare,福祉
well,上手
west,西
western,西洋の
wet,ぬれました
what,何
whatever,なんでも
wheel,ホイール
when,いつ
whenever,都度
where,どこ
whereas,一方、
whether,かどうか
which,これ
while,同時に
whisper,囁き
white,白い
who,WHO
whole,全体
whom,誰
whose,その
why,なぜ
wide,ワイド
widely,広く
widespread,広範
wife,妻
wild,野生
will,意志
willing,喜んで
win,勝つ
wind,風
window,窓
wine,ワイン
wing,羽
winner,勝者
winter,冬
wipe,ワイプ
wire,ワイヤー
wisdom,知恵
wise,賢い
wish,願い
with,とともに
withdraw,取り下げます
within,以内に
without,無し
witness,証人
woman,女性
wonder,ワンダー
wonderful,素晴らしい
wood,木材
wooden,木製
word,語
work,作業
worker,ワーカー
working,ワーキング
works,ワークス
workshop,工房
world,世界
worried,心配
worry,心配
worth,価値
would,でしょう
wound,創傷
wrap,ラップ
write,書く
writer,ライター
writing,書き込み
wrong,違う
yard,ヤード
yeah,ええ
year,年
yell,エール
yellow,黄
yes,はい
yesterday,昨日
yet,未だ
yield,産出
you,君は
young,若い
your,君の
yours,あなたのもの
yourself,自分自身
youth,若者
zone,ゾーン
